author,sentiment
iHeartInfoTech,NEUTRAL
evervue_au,NEUTRAL
__Kelsss__,NEUTRAL
Kory4MVP,NEGATIVE
adtrujillo27,POSITIVE
EvervueUSA,NEUTRAL
Bamaa_H,NEUTRAL
SpringTrails216,NEUTRAL
CocoaINpeaches,NEUTRAL
veronicasito,NEGATIVE
BEWilliams21,NEGATIVE
EvervueUSA,NEUTRAL
evervue_es,NEUTRAL
evervue_be,NEUTRAL
evervue_nl,NEUTRAL
evervue_de,NEUTRAL
BEWilliams21,NEGATIVE
Ginrraider,NEGATIVE
jameshrwood3,MIXED
Hoveljo,NEUTRAL
evervue_au,NEUTRAL
JulietSilfvast,NEGATIVE
JulietSilfvast,NEGATIVE
ClydeHouck,NEUTRAL
ClydeHouck,NEUTRAL
ClydeHouck,NEGATIVE
ConservativeRG,NEUTRAL
mambabka,NEUTRAL
ClydeHouck,NEGATIVE
DRODIANTV,NEUTRAL
Rodzam71,NEGATIVE
ZekielValiant,POSITIVE
linell_,NEGATIVE
BetsyTweeter,NEGATIVE
PiNkHeart_LoV3,NEUTRAL
DonnaNemeh,NEUTRAL
matNlin,NEUTRAL
Philippe_Tweets,NEUTRAL
mayriza827,NEUTRAL
linell_,NEUTRAL
iagomega,NEUTRAL
barrycooper,NEUTRAL
miszrina,NEGATIVE
barrycooper,NEGATIVE
BasdeoCarol,NEUTRAL
alissa_holmes,NEUTRAL
dubbldp,NEUTRAL
TheVoiceofBrian,NEGATIVE
ckramer,NEUTRAL
sorryhouse,NEUTRAL
superlau77,NEUTRAL
Kingsley_Feddi,NEUTRAL
LivePdBlueLine,NEUTRAL
StevenV14649778,NEUTRAL
vmike62,NEGATIVE
stucky980,NEGATIVE
Caramel416,NEGATIVE
ikawip,NEUTRAL
ikawip,NEUTRAL
Sauwercraud,NEUTRAL
BKIND1964,NEGATIVE
rockybarragan,NEUTRAL
Sauwercraud,NEUTRAL
CLWKatie,NEUTRAL
UNRAVELZmcmlxx,NEGATIVE
UNRAVELZmcmlxx,NEGATIVE
kasts_echo,NEUTRAL
Torcho,NEUTRAL
economyofstyle,NEUTRAL
debfene,NEUTRAL
debfene,NEUTRAL
debfene,POSITIVE
MelissaLanter,POSITIVE
KennyB7513,NEUTRAL
G12Rocco,NEUTRAL
GhostWriter556,POSITIVE
No_Star_Reviews,NEUTRAL
ckboo2,NEUTRAL
ckboo2,NEGATIVE
ckboo2,NEUTRAL
ckboo2,NEUTRAL
ckboo2,NEUTRAL
dddirtbag,NEUTRAL
RichardPOULTER3,NEUTRAL
custservstory,NEUTRAL
ThatDarcyGirl,NEUTRAL
ThatDarcyGirl,NEGATIVE
ThatDarcyGirl,NEUTRAL
ThatDarcyGirl,NEUTRAL
ThatDarcyGirl,NEUTRAL
wcblanco,NEUTRAL
ckboo2,NEUTRAL
ckboo2,NEUTRAL
ckboo2,NEUTRAL
ckboo2,NEUTRAL
LittleJC_NC,NEUTRAL
xerocube,NEUTRAL
thomaswang56,NEUTRAL
Lilbrittrn,NEUTRAL
fasulo_chris,NEUTRAL
_SIRMA_,NEUTRAL
Neener86,NEUTRAL
merylnyc,NEUTRAL
MackTrucker_1,NEUTRAL
cdubyasaurusrex,NEUTRAL
cdubyasaurusrex,NEUTRAL
Mariesea7,NEUTRAL
The_Brent_Wadas,NEGATIVE
GITYDB,NEUTRAL
jlavender24,NEUTRAL
Willyr007,NEUTRAL
Willyr007,NEUTRAL
jlavender24,NEGATIVE
TCBiergarten,NEUTRAL
eturnitie,NEUTRAL
PAnder9729,NEGATIVE
borabora017,NEUTRAL
KennyB7513,NEUTRAL
RollTideTab,NEUTRAL
fasulo_chris,NEUTRAL
ajmeader,NEGATIVE
CEOEnterpriseNX,NEUTRAL
b0rken,NEUTRAL
b0rken,NEUTRAL
b0rken,NEUTRAL
b0rken,NEUTRAL
MrsHMCurtis,NEGATIVE
Bro_Fist,NEUTRAL
b0rken,NEUTRAL
b0rken,NEUTRAL
stucky980,POSITIVE
StaystrongL3,POSITIVE
BKIND1964,POSITIVE
fasulo_chris,POSITIVE
StrikeSpectrum,NEUTRAL
gusspeaks,NEUTRAL
dc_byrne,NEUTRAL
JustaBBFan13,NEUTRAL
lesallpr,NEGATIVE
wecke,NEUTRAL
GirlsGotSole,NEUTRAL
JoshuaBowlby,NEUTRAL
b0rken,NEUTRAL
b0rken,NEUTRAL
SnitchOnThese,NEUTRAL
misseattle,NEUTRAL
b0rken,NEUTRAL
b0rken,NEUTRAL
BebaRivera,NEUTRAL
sixtz4me,NEUTRAL
b0rken,NEUTRAL
RomanThe1st,NEUTRAL
ChrisEdwardsCE,NEUTRAL
McGinleyAllison,NEUTRAL
news6wkmg,NEUTRAL
griffindj1,NEUTRAL
DJturnedJD,NEUTRAL
killercorndog,NEUTRAL
killercorndog,NEUTRAL
killercorndog,NEUTRAL
Seglectic,NEUTRAL
wecke,NEUTRAL
tronbunny,NEUTRAL
DebOnceasinger,NEGATIVE
Rolling_stone4,NEUTRAL
megabyte407,POSITIVE
caa1000,NEUTRAL
megabyte407,NEGATIVE
tronbunny,NEUTRAL
JakeKaney,NEUTRAL
kris10stl,NEUTRAL
JakeKaney,NEUTRAL
ShannonRose87,NEUTRAL
Neener86,NEUTRAL
chargergirl46,NEGATIVE
FuFubar1,NEGATIVE
CobaltBlue2009,NEUTRAL
CathieCummings,NEUTRAL
Infamous_T21,NEGATIVE
JakeKaney,NEUTRAL
Infamous_T21,NEUTRAL
Infamous_T21,NEUTRAL
_lisha_love,NEUTRAL
_lisha_love,NEUTRAL
_lisha_love,NEUTRAL
_lisha_love,NEUTRAL
_lisha_love,NEGATIVE
_lisha_love,NEUTRAL
_lisha_love,NEUTRAL
_lisha_love,NEUTRAL
_lisha_love,NEUTRAL
_lisha_love,NEUTRAL
_lisha_love,NEGATIVE
DJturnedJD,NEUTRAL
LunaRiley24,NEGATIVE
XdemFloridaUSA,NEUTRAL
XdemFloridaUSA,NEUTRAL
wecke,NEUTRAL
XdemFloridaUSA,NEUTRAL
XdemFloridaUSA,NEGATIVE
swanlady1234,NEGATIVE
PiNkHeart_LoV3,NEUTRAL
kissesnHugsssss,NEUTRAL
DJturnedJD,NEUTRAL
PiNkHeart_LoV3,NEUTRAL
PiNkHeart_LoV3,NEUTRAL
Docket75,NEUTRAL
tronbunny,NEUTRAL
LYerton,NEUTRAL
jeanbo826,NEUTRAL
JakeKaney,NEUTRAL
Myannazuos,NEUTRAL
ValerieOMcVey,NEUTRAL
UrbnHandicapper,NEUTRAL
LYerton,NEUTRAL
JakeKaney,NEUTRAL
UberZona,NEUTRAL
Myannazuos,NEUTRAL
divasocials,NEGATIVE
Rolling_stone4,NEUTRAL
Myannazuos,NEUTRAL
Myannazuos,NEGATIVE
Myannazuos,NEUTRAL
mstone22,NEUTRAL
Myannazuos,NEUTRAL
Myannazuos,NEUTRAL
Myannazuos,NEUTRAL
DJturnedJD,NEGATIVE
DJturnedJD,POSITIVE
JoshuaSaulter1,NEUTRAL
RatedRuwan,NEUTRAL
RatedRuwan,NEUTRAL
b0rken,NEUTRAL
RatedRuwan,NEUTRAL
wrap02,NEUTRAL
gcmitts,NEUTRAL
b0rken,NEUTRAL
00Sandwich,NEUTRAL
lexrunssouth,NEUTRAL
Simplysdm,NEUTRAL
Yeow777,NEUTRAL
b0rken,NEUTRAL
Yeow777,NEUTRAL
AndeCarlomusto,NEUTRAL
TracysTMI,NEUTRAL
Kate0124SC,NEUTRAL
stucky980,NEUTRAL
Yeow777,NEUTRAL
Yeow777,NEUTRAL
DerangedBoy,NEUTRAL
b0rken,NEUTRAL
fasulo_chris,NEUTRAL
kris10stl,NEGATIVE
Heturion,NEUTRAL
fasulo_chris,NEUTRAL
b0rken,NEUTRAL
b0rken,NEUTRAL
StrikeSpectrum,NEUTRAL
rpwilliams75,NEUTRAL
pabdavis,NEUTRAL
Red13Rum,NEUTRAL
b0rken,NEUTRAL
cetinsley,NEUTRAL
b0rken,NEUTRAL
KingGadomski,NEUTRAL
dustinfitch,NEUTRAL
kris10stl,NEUTRAL
cetinsley,NEUTRAL
cetinsley,NEUTRAL
b0rken,NEUTRAL
ZombiePossum,NEUTRAL
pental0l,NEUTRAL
Venerated_NV,NEUTRAL
BigHeadTales,NEUTRAL
_Stefunnyyy,NEGATIVE
__dotblake,NEGATIVE
